;atl-10361;291.2;;;;;;;;;;;;;;;;
;atl-10368;3850.0;;;;;;;;;;;;;;;;
;atl-11202;291.2;;;;;;;;;;;;;;;;
;atl-11203;354.2;;;;;;;;;;;;;;;;
;atl-11216;917.7;;;;;;;;;;;;;;;;
;atl-11217;884.1;;;;;;;;;;;;;;;;
;atl-11219;1187.2;;;;;;;;;;;;;;;;
;atl-11220;3955.7;;;;;;;;;;;;;;;;
;atl-11221;507.5;;;;;;;;;;;;;;;;
;atl-11223;409.5;;;;;;;;;;;;;;;;
;atl-11224;1227.8;;;;;;;;;;;;;;;;
;atl-11225;286.3;;;;;;;;;;;;;;;;
;atl-11226;92.4;;;;;;;;;;;;;;;;
;atl-11228;280.7;;;;;;;;;;;;;;;;
;atl-11229;204.4;;;;;;;;;;;;;;;;
;atl-11234;4.9;;;;;;;;;;;;;;;;
;atl-11235;4.9;;;;;;;;;;;;;;;;
;atl-11468;1121.4;;;;;;;;;;;;;;;;
;atl-11469;286.3;;;;;;;;;;;;;;;;
;atl-11471;93.1;;;;;;;;;;;;;;;;
;atl-11673;2858.1;;;;;;;;;;;;;;;;
;atl-12270;28162.4;;;;;;;;;;;;;;;;
;atl-12271;32500.3;;;;;;;;;;;;;;;;
;atl-12381;2734.9;;;;;;;;;;;;;;;;
;atl-12464;843.5;;;;;;;;;;;;;;;;
;atl-12511;2529.8;;;;;;;;;;;;;;;;
;atl-12741;5485.2;;;;;;;;;;;;;;;;
;atl-12744;6024.9;;;;;;;;;;;;;;;;
;atl-12774;12688.9;;;;;;;;;;;;;;;;
;atl-13102;10806.6;;;;;;;;;;;;;;;;
;atl-13104;2375.1;;;;;;;;;;;;;;;;
;atl-13117;1529.5;;;;;;;;;;;;;;;;
;atl-13119;202.3;;;;;;;;;;;;;;;;
;atl-13166;6794.9;;;;;;;;;;;;;;;;
;atl-13281;5730.2;;;;;;;;;;;;;;;;
;atl-14373;4150.3;;;;;;;;;;;;;;;;
;atl-15044;7531.3;;;;;;;;;;;;;;;;
;atl-15046;2242.8;;;;;;;;;;;;;;;;
;atl-15047;9690.8;;;;;;;;;;;;;;;;
;atl-15048;5574.8;;;;;;;;;;;;;;;;
;atl-15050;532.0;;;;;;;;;;;;;;;;
;atl-15051;679.7;;;;;;;;;;;;;;;;
;atl-15052;7285.6;;;;;;;;;;;;;;;;
;atl-15053;1661.8;;;;;;;;;;;;;;;;
;atl-15055;1400.0;;;;;;;;;;;;;;;;
;atl-15135;523.6;;;;;;;;;;;;;;;;
;atl-15234;3536.4;;;;;;;;;;;;;;;;
;atl-15238;241.5;;;;;;;;;;;;;;;;
;atl-15571;2.54;;;;;;;;;;;;;;;;
;atl-16076;28162.4;;;;;;;;;;;;;;;;
;atl-16078;3192.7;;;;;;;;;;;;;;;;
;atl-16126;22348.9;;;;;;;;;;;;;;;;
;atl-16127;6139.7;;;;;;;;;;;;;;;;
;atl-16128;1203.3;;;;;;;;;;;;;;;;
;atl-16129;1220.1;;;;;;;;;;;;;;;;
;atl-16131;9332.4;;;;;;;;;;;;;;;;
;atl-16516;368.2;;;;;;;;;;;;;;;;
;atl-16517;169.4;;;;;;;;;;;;;;;;
;atl-16518;98.0;;;;;;;;;;;;;;;;
;atl-16520;91.7;;;;;;;;;;;;;;;;
;atl-16521;1227.8;;;;;;;;;;;;;;;;
;atl-16522;169.4;;;;;;;;;;;;;;;;
;atl-16847;15227.1;;;;;;;;;;;;;;;;
;atl-16848;810.6;;;;;;;;;;;;;;;;
;atl-16849;1252.3;;;;;;;;;;;;;;;;
;atl-16850;1260.7;;;;;;;;;;;;;;;;
;atl-17234;589.4;;;;;;;;;;;;;;;;
;atl-17251;1457.4;;;;;;;;;;;;;;;;
;atl-17262;11900.0;;;;;;;;;;;;;;;;
;atl-18012;4012.4;;;;;;;;;;;;;;;;
;atl-18015;4911.9;;;;;;;;;;;;;;;;
;atl-18034;1972.6;;;;;;;;;;;;;;;;
;atl-18152;4601.1;;;;;;;;;;;;;;;;
;atl-18153;31599.4;;;;;;;;;;;;;;;;
;atl-18154;253.4;;;;;;;;;;;;;;;;
;atl-18155;291.2;;;;;;;;;;;;;;;;
;atl-18173;573.3;;;;;;;;;;;;;;;;
